Index,Round,Institution,Program,Degree,Quota,Category,Gender,Opening Rank,Closing Rank,Institution 2,Program 2,Degree 2,Quota 2,Category 2,Gender 2,Opening Rank 2,Closing Rank 2
2975.0,Round 1,"KASHI INSTITUTE OF TECHNOLOGY,VARANASI",Computer Science and Engineering,B.Tech,All India,OPEN,Both Male and Female Seats,252413.0,1335490.0,,,,,,,,
,,,,,,,,,,Round 1,"INSTITUTE OF TECHNOLOGY & MANAGEMENT,LUCKNOW",Computer Science and Engineering,B.Tech,Home State,SC,Both Male and Female Seats,757490.0
2977.0,Round 1,"GREATER NOIDA INSTITUTE OF TECHNOLOGY,GAUTAM BUDDH NAGAR",Computer Science and Engineering (FW),B.Tech,Home State,OPEN(TF),Both Male and Female Seats,102243.0,290461.0,,,,,,,,
,,,,,,,,,,Round 1,"GREATER NOIDA INSTITUTE OF TECHNOLOGY,GAUTAM BUDDH NAGAR",Artificial Inelligence (AI) And Data Science,B.Tech,Home State,SC,Both Male and Female Seats,1286606.0
2979.0,Round 1,"GREATER NOIDA INSTITUTE OF TECHNOLOGY,GAUTAM BUDDH NAGAR",Computer Science And Engineering(Artificial Intelligence & Machine Learning),B.Tech,Home State,EWS(OPEN),Both Male and Female Seats,502781.0,661450.0,,,,,,,,
,,,,,,,,,,Round 1,"GREATER NOIDA INSTITUTE OF TECHNOLOGY,GAUTAM BUDDH NAGAR",Computer Science & Engineering (Cyber Security),B.Tech,All India,OPEN,Both Male and Female Seats,161398.0
2981.0,Round 1,"GREATER NOIDA INSTITUTE OF TECHNOLOGY,GAUTAM BUDDH NAGAR",Computer Science & Engineering (Cyber Security),B.Tech,Home State,EWS(GL),Female Seats,927096.0,927096.0,,,,,,,,
,,,,,,,,,,Round 1,"GREATER NOIDA INSTITUTE OF TECHNOLOGY,GAUTAM BUDDH NAGAR",Computer Science And Engineering(Data Science) (FW),B.Tech,Home State,OPEN(TF),Both Male and Female Seats,307729.0
2983.0,Round 1,"GREATER NOIDA INSTITUTE OF TECHNOLOGY,GAUTAM BUDDH NAGAR",Computer Science And Engineering(Internet Of Things),B.Tech,All India,OPEN,Both Male and Female Seats,347374.0,478300.0,,,,,,,,
,,,,,,,,,,Round 1,"GREATER NOIDA INSTITUTE OF TECHNOLOGY,GAUTAM BUDDH NAGAR",Computer Science And Engineering(Internet Of Things),B.Tech,Home State,OPEN(GIRL),Female Seats,854999.0
2985.0,Round 1,"I.T.S. ENGG.COLLEGE,GAUTAM BUDDH NAGAR",Electronics and Communication Engineering,B.Tech,All India,OPEN,Both Male and Female Seats,930657.0,930657.0,,,,,,,,
,,,,,,,,,,Round 1,"NITRA TECHNICAL CAMPUS,GHAZIABAD",Computer Science And Engineering(Artificial Intelligence & Machine Learning),B.Tech,Home State,ST,Both Male and Female Seats,1347419.0
2987.0,Round 1,"INDERPRASTHA ENGG. COLLEGE,GHAZIABAD",Computer Science and Engineering (Data Science),B.Tech,All India,OPEN,Both Male and Female Seats,188331.0,648657.0,,,,,,,,
,,,,,,,,,,Round 1,"G.L. BAJAJ INSTITUTE OF TECHNOLOGY & MANAGEMENT,GAUTAM BUDDH NAGAR",Computer Science and Engineering,B.Tech,All India,OPEN,Both Male and Female Seats,25065.0
2989.0,Round 1,"G.L. BAJAJ INSTITUTE OF TECHNOLOGY & MANAGEMENT,GAUTAM BUDDH NAGAR",Electrical & Electronics Engineering,B.Tech,Home State,OPEN,Both Male and Female Seats,241456.0,333400.0,,,,,,,,
,,,,,,,,,,Round 1,"G.L. BAJAJ INSTITUTE OF TECHNOLOGY & MANAGEMENT,GAUTAM BUDDH NAGAR",Computer Science and Engineering (Artificial Intelligence),B.Tech,Home State,BC(AF),Both Male and Female Seats,331246.0
2991.0,Round 1,"G.L. BAJAJ INSTITUTE OF TECHNOLOGY & MANAGEMENT,GAUTAM BUDDH NAGAR",Computer Science And Engineering(Artificial Intelligence & Machine Learning),B.Tech,Home State,EWS(AF),Both Male and Female Seats,378675.0,378675.0,,,,,,,,
,,,,,,,,,,Round 1,"G.L. BAJAJ INSTITUTE OF TECHNOLOGY & MANAGEMENT,GAUTAM BUDDH NAGAR",Computer Science and Engineering (Data Science),B.Tech,Home State,OPEN,Both Male and Female Seats,169819.0
2993.0,Round 1,"SCHOOL OF MANAGEMENT SCIENCE (SMS INSTITUTE OF TECHNOLOGY),LUCKNOW",Artificial Inelligence (AI) And Data Science,B.Tech,All India,OPEN,Both Male and Female Seats,261477.0,1213615.0,,,,,,,,
,,,,,,,,,,Round 1,"ESHAN COLLEGE OF ENGINEERING,MATHURA",Computer Science and Engineering,B.Tech,All India,OPEN,Both Male and Female Seats,337069.0
2995.0,Round 1,"RAJKIYA ENGINEERING COLLEGE,BIJNOR",Civil Engineering,B.Tech,Home State,EWS(GL),Female Seats,785759.0,1300279.0,,,,,,,,
,,,,,,,,,,Round 1,"RAJKIYA ENGINEERING COLLEGE,BIJNOR",Electrical Engineering,B.Tech,Home State,BC,Both Male and Female Seats,277307.0
2997.0,Round 1,"RAJKIYA ENGINEERING COLLEGE,BIJNOR",Electrical Engineering,B.Tech,Home State,ST,Both Male and Female Seats,553525.0,1119526.0,,,,,,,,
,,,,,,,,,,Round 1,"NITRA TECHNICAL CAMPUS,GHAZIABAD",Computer Science and Engineering,B.Tech,All India,OPEN,Both Male and Female Seats,101437.0
2999.0,Round 1,"NITRA TECHNICAL CAMPUS,GHAZIABAD",Computer Science And Engineering(Artificial Intelligence & Machine Learning),B.Tech,Home State,EWS(GL),Female Seats,367847.0,367847.0,,,,,,,,
,,,,,,,,,,Round 1,"RAJKIYA ENGINEERING COLLEGE,MAINPURI",Mechanical Engineering,B.Tech,Home State,OPEN(GIRL),Female Seats,548673.0
3001.0,Round 1,"RAJKIYA ENGINEERING COLLEGE, MIRZAPUR",Electrical Engineering,B.Tech,Home State,OPEN,Both Male and Female Seats,473137.0,684028.0,,,,,,,,
,,,,,,,,,,Round 1,"RAJKIYA ENGINEERING COLLEGE, MIRZAPUR",Information Technology,B.Tech,Home State,SC,Both Male and Female Seats,559233.0
3003.0,Round 1,"RAJKIYA ENGINEERING COLLEGE, MIRZAPUR",Electronics Engineering,B.Tech,All India,OPEN,Both Male and Female Seats,198062.0,356688.0,,,,,,,,
,,,,,,,,,,Round 1,"RAJKIYA ENGINEERING COLLEGE, MIRZAPUR",Electronics Engineering,B.Tech,Home State,BC(Girl),Female Seats,642290.0
3005.0,Round 1,"RAJKIYA ENGINEERING COLLEGE, PARTAPGARH",Electrical Engineering,B.Tech,Home State,EWS(OPEN),Both Male and Female Seats,773437.0,871952.0,,,,,,,,
,,,,,,,,,,Round 1,"KUNWAR SATYA VEERA COLLEGE OF ENGG. & MANAGEMENT,BIJNAUR",Electrical Engineering,B.Tech,All India,OPEN,Both Male and Female Seats,853665.0
3007.0,Round 1,"INSTITUTE OF ENGG. & RURAL TECHNOLOGY,ALLAHABAD",Computer Science and Engineering,B.Tech,Home State,SC,Both Male and Female Seats,295072.0,400923.0,,,,,,,,
,,,,,,,,,,Round 1,"INSTITUTE OF ENGG. & RURAL TECHNOLOGY,ALLAHABAD",Electrical Engineering,B.Tech,Home State,SC(Girl),Female Seats,466649.0
3009.0,Round 1,"INSTITUTE OF ENGG. & RURAL TECHNOLOGY,ALLAHABAD",Electrical Engineering (FW),B.Tech,Home State,OPEN(TF),Both Male and Female Seats,177699.0,241981.0,,,,,,,,
,,,,,,,,,,Round 1,"MEERUT INSTITUTE OF TECHNOLOGY,MEERUT",Civil Engineering,B.Tech,All India,OPEN,Both Male and Female Seats,1246707.0
3011.0,Round 1,"BUDDHA INSTITUTE OF TECHNOLOGY,GORAKHPUR",Electronics and Communication Engineering (FW),B.Tech,Home State,OPEN(TF),Both Male and Female Seats,626671.0,626671.0,,,,,,,,
,,,,,,,,,,Round 1,"BUDDHA INSTITUTE OF TECHNOLOGY,GORAKHPUR",Information Technology,B.Tech,All India,OPEN,Both Male and Female Seats,960307.0
3013.0,Round 1,"RAJKIYA ENGINEERING COLLEGE,MAINPURI",Civil Engineering,B.Tech,All India,OPEN,Both Male and Female Seats,195180.0,415206.0,,,,,,,,
,,,,,,,,,,Round 1,"KIET GROUP OF INSTITUTIONS(KRISHNA INSTT. OF ENGG. & TECHNOLOGY),GHAZIABAD",Electrical & Electronics Engineering,B.Tech,Home State,EWS(OPEN),Both Male and Female Seats,310668.0
3015.0,Round 1,"KIET GROUP OF INSTITUTIONS(KRISHNA INSTT. OF ENGG. & TECHNOLOGY),GHAZIABAD",Electrical & Electronics Engineering,B.Tech,Home State,OPEN(GIRL),Female Seats,272135.0,285754.0,,,,,,,,
,,,,,,,,,,Round 1,"KIET GROUP OF INSTITUTIONS(KRISHNA INSTT. OF ENGG. & TECHNOLOGY),GHAZIABAD",Electrical & Electronics Engineering,B.Tech,Home State,SC(Girl),Female Seats,694492.0
3017.0,Round 1,"KIET GROUP OF INSTITUTIONS(KRISHNA INSTT. OF ENGG. & TECHNOLOGY),GHAZIABAD",Electronics and Communication Engineering,B.Tech,Home State,EWS(AF),Both Male and Female Seats,579151.0,579151.0,,,,,,,,
,,,,,,,,,,Round 1,"KIET GROUP OF INSTITUTIONS(KRISHNA INSTT. OF ENGG. & TECHNOLOGY),GHAZIABAD",Electronics and Communication Engineering (FW),B.Tech,Home State,OPEN(TF),Both Male and Female Seats,115517.0
3019.0,Round 1,"KIET GROUP OF INSTITUTIONS(KRISHNA INSTT. OF ENGG. & TECHNOLOGY),GHAZIABAD",Information Technology,B.Tech,Home State,BC(Girl),Female Seats,180328.0,242363.0,,,,,,,,
,,,,,,,,,,Round 1,"KIET GROUP OF INSTITUTIONS(KRISHNA INSTT. OF ENGG. & TECHNOLOGY),GHAZIABAD",Computer Science Information Technology,B.Tech,Home State,EWS(OPEN),Both Male and Female Seats,167175.0
3021.0,Round 1,"PRANVEER SINGH INSTITUTE OF TECHNOLOGY,KANPUR",Electronics and Communication Engineering (FW),B.Tech,Home State,OPEN(TF),Both Male and Female Seats,327309.0,361622.0,,,,,,,,
,,,,,,,,,,Round 1,"PRANVEER SINGH INSTITUTE OF TECHNOLOGY,KANPUR",Information Technology,B.Tech,Home State,BC(Girl),Female Seats,745019.0
3023.0,Round 1,"PRANVEER SINGH INSTITUTE OF TECHNOLOGY,KANPUR",Computer Science and Engineering (Artificial Intelligence),B.Tech,Home State,BC,Both Male and Female Seats,599532.0,1039224.0,,,,,,,,
,,,,,,,,,,Round 1,"PRANVEER SINGH INSTITUTE OF TECHNOLOGY,KANPUR",Computer Science and Engineering (Data Science),B.Tech,Home State,OPEN(GIRL),Female Seats,505489.0
3025.0,Round 1,"ABES INSTITUTE OF TECHNOLOGY,GHAZIABAD",Information Technology,B.Tech,Home State,OPEN(GIRL),Female Seats,241994.0,305451.0,,,,,,,,
,,,,,,,,,,Round 1,"I.T.S. ENGG.COLLEGE,GAUTAM BUDDH NAGAR",Computer Science And Engineering(Artificial Intelligence & Machine Learning) (FW),B.Tech,Home State,OPEN(TF),Both Male and Female Seats,361820.0
3027.0,Round 1,"RAMESHWARAM INSTITUTE OF TECHNOLOGY & MANAGEMENT,LUCKNOW",Electronics and Communication Engineering,B.Tech,All India,OPEN,Both Male and Female Seats,574765.0,1363247.0,,,,,,,,
,,,,,,,,,,Round 1,"KASHI INSTITUTE OF TECHNOLOGY,VARANASI",Electronics and Communication Engineering,B.Tech,All India,OPEN,Both Male and Female Seats,626652.0
3029.0,Round 1,"KASHI INSTITUTE OF TECHNOLOGY,VARANASI",Electronics and Communication Engineering,B.Tech,Home State,OPEN(GIRL),Female Seats,1412675.0,1412675.0,,,,,,,,
,,,,,,,,,,Round 1,"KASHI INSTITUTE OF TECHNOLOGY,VARANASI",Computer Science And Engineering(Artificial Intelligence & Machine Learning) (FW),B.Tech,Home State,OPEN(TF),Both Male and Female Seats,569045.0
3031.0,Round 1,"INSTITUTE OF TECHNOLOGY & MANAGEMENT,LUCKNOW",Electronics and Communication Engineering,B.Tech,All India,OPEN,Both Male and Female Seats,282187.0,877059.0,,,,,,,,
,,,,,,,,,,Round 1,"RAJKIYA ENGINEERING COLLEGE,MAINPURI",Civil Engineering,B.Tech,Home State,BC(Girl),Female Seats,849613.0
3033.0,Round 1,"RAJKIYA ENGINEERING COLLEGE,MAINPURI",Computer Science and Engineering,B.Tech,Home State,BC,Both Male and Female Seats,187018.0,195619.0,,,,,,,,
,,,,,,,,,,Round 1,"RAJKIYA ENGINEERING COLLEGE,MAINPURI",Computer Science and Engineering,B.Tech,Home State,ST(Girl),Female Seats,1015171.0
3035.0,Round 1,"RAJKIYA ENGINEERING COLLEGE,MAINPURI",Computer Science and Engineering,B.Tech,Home State,ST,Both Male and Female Seats,930940.0,930940.0,,,,,,,,
,,,,,,,,,,Round 1,"RAJKIYA ENGINEERING COLLEGE,MAINPURI",Electrical Engineering,B.Tech,Home State,OPEN(GIRL),Female Seats,376909.0
3037.0,Round 1,"RAJKIYA ENGINEERING COLLEGE,MAINPURI",Information Technology,B.Tech,Home State,BC(AF),Both Male and Female Seats,711135.0,711135.0,,,,,,,,
,,,,,,,,,,Round 1,"RAJKIYA ENGINEERING COLLEGE,MAINPURI",Information Technology,B.Tech,Home State,EWS(GL),Female Seats,298334.0
3039.0,Round 1,"RAJKIYA ENGINEERING COLLEGE, MIRZAPUR",Computer Science and Engineering,B.Tech,Home State,SC,Both Male and Female Seats,379003.0,518251.0,,,,,,,,
,,,,,,,,,,Round 1,"RAJKIYA ENGINEERING COLLEGE, MIRZAPUR",Information Technology,B.Tech,All India,OPEN,Both Male and Female Seats,193946.0
3041.0,Round 1,"RAJKIYA ENGINEERING COLLEGE, PARTAPGARH",Civil Engineering,B.Tech,All India,OPEN,Both Male and Female Seats,214880.0,599047.0,,,,,,,,
,,,,,,,,,,Round 1,"RAJKIYA ENGINEERING COLLEGE, PARTAPGARH",Computer Science and Engineering,B.Tech,Home State,BC,Both Male and Female Seats,260429.0
3043.0,Round 1,"RAJKIYA ENGINEERING COLLEGE, PARTAPGARH",Electrical Engineering,B.Tech,Home State,OPEN(GIRL),Female Seats,426319.0,541570.0,,,,,,,,
,,,,,,,,,,Round 1,"INSTITUTE OF ENGG. & RURAL TECHNOLOGY,ALLAHABAD",Computer Science and Engineering,B.Tech,Home State,OPEN(AF),Both Male and Female Seats,261670.0
3045.0,Round 1,"INSTITUTE OF ENGG. & RURAL TECHNOLOGY,ALLAHABAD",Electrical Engineering,B.Tech,All India,OPEN,Both Male and Female Seats,179213.0,268767.0,,,,,,,,
,,,,,,,,,,Round 1,"INSTITUTE OF ENGG. & RURAL TECHNOLOGY,ALLAHABAD",Electrical Engineering,B.Tech,Home State,EWS(GL),Female Seats,500070.0
3047.0,Round 1,"AJAY KUMAR GARG ENGG. COLLEGE,GHAZIABAD",Computer Science Information Technology (FW),B.Tech,Home State,OPEN(TF),Both Male and Female Seats,92309.0,107913.0,,,,,,,,
,,,,,,,,,,Round 1,"UTTAR PRADESH TEXTILE TECHNOLOGY INSTITUTE,KANPUR",Computer Science and Engineering,B.Tech,All India,OPEN,Both Male and Female Seats,66815.0
3049.0,Round 1,"UTTAR PRADESH TEXTILE TECHNOLOGY INSTITUTE,KANPUR",Textile Engineering,B.Tech,Home State,OPEN,Both Male and Female Seats,235324.0,398557.0,,,,,,,,
,,,,,,,,,,Round 1,"UTTAR PRADESH TEXTILE TECHNOLOGY INSTITUTE,KANPUR",Textile Chemistry,B.Tech,Home State,EWS(OPEN),Both Male and Female Seats,926245.0
3051.0,Round 1,"MEERUT INSTITUTE OF ENGINEERING & TECHNOLOGY,MEERUT",Computer Science and Engineering,B.Tech,Home State,BC(Girl),Female Seats,714074.0,1275306.0,,,,,,,,
,,,,,,,,,,Round 1,"MEERUT INSTITUTE OF ENGINEERING & TECHNOLOGY,MEERUT",Computer Science (FW),B.Tech,Home State,OPEN(TF),Both Male and Female Seats,222838.0
3053.0,Round 1,"J.S.S. ACADEMY OF TECHNICAL EDUCATION,GAUTAM BUDDH NAGAR",Civil Engineering,B.Tech,Home State,BC,Both Male and Female Seats,461554.0,552587.0,,,,,,,,
,,,,,,,,,,Round 1,"J.S.S. ACADEMY OF TECHNICAL EDUCATION,GAUTAM BUDDH NAGAR",Civil Engineering,B.Tech,Home State,EWS(OPEN),Both Male and Female Seats,476242.0
3055.0,Round 1,"J.S.S. ACADEMY OF TECHNICAL EDUCATION,GAUTAM BUDDH NAGAR",Electrical & Electronics Engineering,B.Tech,Home State,OPEN,Both Male and Female Seats,143083.0,200713.0,,,,,,,,
,,,,,,,,,,Round 1,"J.S.S. ACADEMY OF TECHNICAL EDUCATION,GAUTAM BUDDH NAGAR",Electrical Engineering,B.Tech,Home State,EWS(GL),Female Seats,295613.0
3057.0,Round 1,"J.S.S. ACADEMY OF TECHNICAL EDUCATION,GAUTAM BUDDH NAGAR",Computer Science and Engineering (Data Science),B.Tech,Home State,OPEN(AF),Both Male and Female Seats,99772.0,99772.0,,,,,,,,
,,,,,,,,,,Round 1,"I.M.S. ENGINEERING COLLEGE,GHAZIABAD",Computer Science and Engineering,B.Tech,Home State,BC(Girl),Female Seats,473503.0
3059.0,Round 1,"I.M.S. ENGINEERING COLLEGE,GHAZIABAD",Computer Science (FW),B.Tech,Home State,OPEN(TF),Both Male and Female Seats,302249.0,377562.0,,,,,,,,
,,,,,,,,,,Round 1,"S R GROUP OF INSTITUTIONS (COLLEGE OF SCIENCE AND ENGINEERING),JHANSI",Computer Science and Engineering,B.Tech,All India,OPEN,Both Male and Female Seats,232697.0
3061.0,Round 1,"ABES INSTITUTE OF TECHNOLOGY,GHAZIABAD",Computer Science and Engineering (Artificial Intelligence),B.Tech,Home State,BC,Both Male and Female Seats,465542.0,653351.0,,,,,,,,
,,,,,,,,,,Round 1,"ABES INSTITUTE OF TECHNOLOGY,GHAZIABAD",Computer Science and Engineering (Data Science),B.Tech,Home State,OPEN(GIRL),Female Seats,309400.0
3063.0,Round 1,"GOEL INSTITUTE OF TECHNOLOGY & MANAGEMENT,LUCKNOW",Civil Engineering,B.Tech,All India,OPEN,Both Male and Female Seats,431895.0,1310909.0,,,,,,,,
,,,,,,,,,,Round 1,"KIET GROUP OF INSTITUTIONS(KRISHNA INSTT. OF ENGG. & TECHNOLOGY),GHAZIABAD",Electrical & Electronics Engineering,B.Tech,Home State,BC(Girl),Female Seats,312105.0
3065.0,Round 1,"KIET GROUP OF INSTITUTIONS(KRISHNA INSTT. OF ENGG. & TECHNOLOGY),GHAZIABAD",Computer Science,B.Tech,Home State,SC,Both Male and Female Seats,358087.0,652081.0,,,,,,,,
,,,,,,,,,,Round 1,"KIET GROUP OF INSTITUTIONS(KRISHNA INSTT. OF ENGG. & TECHNOLOGY),GHAZIABAD",Computer Science And Engineering(Artificial Intelligence & Machine Learning),B.Tech,Home State,ST,Both Male and Female Seats,709454.0
3067.0,Round 1,"KIET GROUP OF INSTITUTIONS(KRISHNA INSTT. OF ENGG. & TECHNOLOGY),GHAZIABAD",Computer Science Information Technology,B.Tech,Home State,SC(Girl),Female Seats,485195.0,930810.0,,,,,,,,
,,,,,,,,,,Round 1,"PRANVEER SINGH INSTITUTE OF TECHNOLOGY,KANPUR",Information Technology,B.Tech,Home State,OPEN(GIRL),Female Seats,594270.0
3069.0,Round 1,"PRANVEER SINGH INSTITUTE OF TECHNOLOGY,KANPUR",Computer Science and Engineering (Artificial Intelligence),B.Tech,All India,OPEN,Both Male and Female Seats,106689.0,445282.0,,,,,,,,
,,,,,,,,,,Round 1,"PRANVEER SINGH INSTITUTE OF TECHNOLOGY,KANPUR",Computer Science and Engineering (Artificial Intelligence),B.Tech,Home State,OPEN(GIRL),Female Seats,449662.0
3071.0,Round 1,"PRANVEER SINGH INSTITUTE OF TECHNOLOGY,KANPUR",Computer Science and Engineering (Data Science),B.Tech,Home State,EWS(OPEN),Both Male and Female Seats,662805.0,748828.0,,,,,,,,
,,,,,,,,,,Round 1,"ABES INSTITUTE OF TECHNOLOGY,GHAZIABAD",Computer Science and Engineering (Artificial Intelligence),B.Tech,Home State,SC(Girl),Female Seats,725492.0
3073.0,Round 1,"ABES INSTITUTE OF TECHNOLOGY,GHAZIABAD",Computer Science and Engineering (Data Science),B.Tech,All India,OPEN,Both Male and Female Seats,137891.0,306441.0,,,,,,,,
,,,,,,,,,,Round 1,"GOEL INSTITUTE OF TECHNOLOGY & MANAGEMENT,LUCKNOW",Computer Science And Engineering(Artificial Intelligence & Machine Learning),B.Tech,Home State,EWS(GL),Female Seats,1341612.0
3075.0,Round 1,"Baba Shaheb (Dr.) B R Ambedkar College of Agricultural Engineering and Technology, Etawah",Computer Science and Engineering,B.Tech,Home State,OPEN,Both Male and Female Seats,146830.0,385029.0,,,,,,,,
,,,,,,,,,,Round 1,"MARATHWADA INSTT. OF TECHNOLOGY, BULANDSHAHAR",Information Technology,B.Tech,All India,OPEN,Both Male and Female Seats,326463.0
3077.0,Round 1,"SHRI RAM SWAROOP MEMORIAL COLLEGE OF ENGG. & MANAGEMENT,LUCKNOW",Computer Science and Engineering,B.Tech,Home State,BC(AF),Both Male and Female Seats,959052.0,959052.0,,,,,,,,
,,,,,,,,,,Round 1,"SHRI RAM SWAROOP MEMORIAL COLLEGE OF ENGG. & MANAGEMENT,LUCKNOW",Computer Science and Engineering,B.Tech,Home State,EWS(GL),Female Seats,445309.0
3079.0,Round 1,"SHRI RAM SWAROOP MEMORIAL COLLEGE OF ENGG. & MANAGEMENT,LUCKNOW",Computer Science And Engineering(Artificial Intelligence & Machine Learning),B.Tech,Home State,EWS(OPEN),Both Male and Female Seats,637858.0,702820.0,,,,,,,,
,,,,,,,,,,Round 1,"SHRI RAM SWAROOP MEMORIAL COLLEGE OF ENGG. & MANAGEMENT,LUCKNOW",Computer Science & Engineering (Cyber Security),B.Tech,All India,OPEN,Both Male and Female Seats,200271.0
3081.0,Round 1,"SHRI RAM SWAROOP MEMORIAL COLLEGE OF ENGG. & MANAGEMENT,LUCKNOW",Computer Science and Engineering (Data Science),B.Tech,Home State,SC(Girl),Female Seats,1015224.0,1015224.0,,,,,,,,
,,,,,,,,,,Round 1,"SAGAR INSTITUTE OF TECHNOLOGY & MANAGEMENT,BARABANKI",Computer Science and Engineering (FW),B.Tech,Home State,OPEN(TF),Both Male and Female Seats,604245.0
3083.0,Round 1,"LUCKNOW INSTITUTE OF TECHNOLOGY,LUCKNOW",Computer Science and Engineering,B.Tech,Home State,BC,Both Male and Female Seats,296085.0,383743.0,,,,,,,,
,,,,,,,,,,Round 1,"LUCKNOW INSTITUTE OF TECHNOLOGY,LUCKNOW",Computer Science and Engineering,B.Tech,Home State,SC,Both Male and Female Seats,396586.0
3085.0,Round 1,"Bundelkhand University, Jhansi",Computer Science and Engineering,B.Tech,Home State,ST,Both Male and Female Seats,552165.0,552165.0,,,,,,,,
,,,,,,,,,,Round 1,"Bundelkhand University, Jhansi",Electronics and Communication Engineering,B.Tech,Home State,EWS(OPEN),Both Male and Female Seats,235671.0
3087.0,Round 1,"Bundelkhand University, Jhansi",Bio Medical Engineering,B.Tech,Home State,OPEN(GIRL),Female Seats,324166.0,945600.0,,,,,,,,
,,,,,,,,,,Round 1,"Baba Shaheb (Dr.) B R Ambedkar College of Agricultural Engineering and Technology, Etawah",Electronics and Communication Engineering,B.Tech,Home State,EWS(OPEN),Both Male and Female Seats,766726.0
3089.0,Round 1,"Veer Bahadur Singh Purvanchal University, Jaunpur",Information Technology,B.Tech,Home State,OPEN,Both Male and Female Seats,421006.0,492031.0,,,,,,,,
,,,,,,,,,,Round 1,"Veer Bahadur Singh Purvanchal University, Jaunpur",Electronics & Instrumentation Engineering,B.Tech,Home State,EWS(OPEN),Both Male and Female Seats,1092295.0
3091.0,Round 1,"Veer Bahadur Singh Purvanchal University, Jaunpur",Renewable Engineering,B.Tech,Home State,OPEN(GIRL),Female Seats,496952.0,496952.0,,,,,,,,
,,,,,,,,,,Round 1,"LUCKNOW UNIVERSITY, LUCKNOW",Electrical Engineering,B.Tech,Home State,OPEN,Both Male and Female Seats,155270.0
3093.0,Round 1,"LUCKNOW UNIVERSITY, LUCKNOW",Mechanical Engineering,B.Tech,Home State,EWS(GL),Female Seats,361666.0,361666.0,,,,,,,,
,,,,,,,,,,Round 1,"LUCKNOW UNIVERSITY, LUCKNOW",Computer Science & Engineering (Artificial Intelligence),B.Tech,Home State,SC(AF),Both Male and Female Seats,877949.0
3095.0,Round 1,"LUCKNOW UNIVERSITY, LUCKNOW",Computer Science & Engineering (Artificial Intelligence),B.Tech,Home State,ST(Girl),Female Seats,886004.0,886004.0,,,,,,,,
,,,,,,,,,,Round 1,"RAJKIYA ENGINEERING COLLEGE, BASTI",Civil Engineering,B.Tech,Home State,BC(Girl),Female Seats,986174.0
3097.0,Round 1,"RAJKIYA ENGINEERING COLLEGE, BASTI",Computer Science and Engineering (FW),B.Tech,Home State,OPEN(TF),Both Male and Female Seats,142811.0,160233.0,,,,,,,,
,,,,,,,,,,Round 1,"RAJKIYA ENGINEERING COLLEGE,AZAMGARH",Mechanical Engineering,B.Tech,Home State,EWS(GL),Female Seats,1170527.0
3099.0,Round 1,"Veer Bahadur Singh Purvanchal University, Jaunpur",Computer Science and Engineering,B.Tech,Home State,BC(Girl),Female Seats,510064.0,529940.0,,,,,,,,
,,,,,,,,,,Round 1,"Veer Bahadur Singh Purvanchal University, Jaunpur",Electrical Engineering,B.Tech,Home State,BC,Both Male and Female Seats,1102957.0
3101.0,Round 1,"Veer Bahadur Singh Purvanchal University, Jaunpur",Electronics & Instrumentation Engineering,B.Tech,Home State,OPEN,Both Male and Female Seats,557632.0,1082188.0,,,,,,,,
,,,,,,,,,,Round 1,"LUCKNOW UNIVERSITY, LUCKNOW",Computer Science and Engineering,B.Tech,Home State,OPEN(GIRL),Female Seats,68792.0
3103.0,Round 1,"SHRI RAM SWAROOP MEMORIAL COLLEGE OF ENGG. & MANAGEMENT,LUCKNOW",Computer Science And Engineering(Artificial Intelligence & Machine Learning),B.Tech,All India,OPEN,Both Male and Female Seats,221373.0,393978.0,,,,,,,,
,,,,,,,,,,Round 1,"SHRI RAM SWAROOP MEMORIAL COLLEGE OF ENGG. & MANAGEMENT,LUCKNOW",Computer Science and Engineering (Data Science),B.Tech,Home State,EWS(OPEN),Both Male and Female Seats,857035.0
3105.0,Round 1,"SHRI RAM SWAROOP MEMORIAL COLLEGE OF ENGG. & MANAGEMENT,LUCKNOW",Computer Science And Engineering(Data Science) (FW),B.Tech,Home State,OPEN(TF),Both Male and Female Seats,170990.0,265621.0,,,,,,,,
,,,,,,,,,,Round 1,"LUCKNOW INSTITUTE OF TECHNOLOGY,LUCKNOW",Electronics and Communication Engineering,B.Tech,Home State,EWS(OPEN),Both Male and Female Seats,550169.0
3107.0,Round 1,"LUCKNOW INSTITUTE OF TECHNOLOGY,LUCKNOW",Information Technology,B.Tech,Home State,SC,Both Male and Female Seats,419553.0,504629.0,,,,,,,,
,,,,,,,,,,Round 1,"MADHU VACHASPATI INSTITUTE OF ENGINEERING & TECHNOLOGY,KAUSHAMBI",Civil Engineering,B.Tech,All India,OPEN,Both Male and Female Seats,1101099.0
3109.0,Round 1,"ALLENHOUSE INSTITUTE OF TECHNOLOGY,KANPUR",Computer Science And Engineering(Artificial Intelligence & Machine Learning),B.Tech,All India,OPEN,Both Male and Female Seats,351769.0,1376828.0,,,,,,,,
,,,,,,,,,,Round 1,"Bundelkhand University, Jhansi",Electronics & Instrumentation Engineering,B.Tech,Home State,EWS(OPEN),Both Male and Female Seats,369107.0
3111.0,Round 1,"MODERN COLLEGE, JHANSI.",Computer Science and Engineering,B.Tech,All India,OPEN,Both Male and Female Seats,344611.0,1040604.0,,,,,,,,
