Index,Round,Institution,Program,Degree,Quota,Category,Gender,Opening Rank,Closing Rank,Institution 2,Program 2,Degree 2,Quota 2,Category 2,Gender 2,Opening Rank 2,Closing Rank 2
31.0,Round 1,"PRANVEER SINGH INSTITUTE OF TECHNOLOGY,KANPUR",Computer Science and Engineering,B.Tech,Home State,BC,Both Male and Female Seats,495997.0,854452.0,,,,,,,,
,,,,,,,,,,Round 1,"PRANVEER SINGH INSTITUTE OF TECHNOLOGY,KANPUR",Computer Science and Engineering,B.Tech,Home State,SC,Both Male and Female Seats,501591.0
33.0,Round 1,"PRANVEER SINGH INSTITUTE OF TECHNOLOGY,KANPUR",Information Technology,B.Tech,All India,OPEN,Both Male and Female Seats,287810.0,451327.0,,,,,,,,
,,,,,,,,,,Round 1,"PRANVEER SINGH INSTITUTE OF TECHNOLOGY,KANPUR",Information Technology,B.Tech,Home State,EWS(GL),Female Seats,684260.0
35.0,Round 1,"RAJKIYA ENGINEERING COLLEGE,AMBEDKAR NAGAR",Electrical Engineering,B.Tech,Home State,SC,Both Male and Female Seats,315932.0,902946.0,,,,,,,,
,,,,,,,,,,Round 1,"PRANVEER SINGH INSTITUTE OF TECHNOLOGY,KANPUR",Computer Science and Engineering (Artificial Intelligence) (FW),B.Tech,Home State,OPEN(TF),Both Male and Female Seats,125498.0
37.0,Round 1,"PRANVEER SINGH INSTITUTE OF TECHNOLOGY,KANPUR",Computer Science And Engineering(Artificial Intelligence & Machine Learning),B.Tech,Home State,OPEN(GIRL),Female Seats,403606.0,578036.0,,,,,,,,
,,,,,,,,,,Round 1,"PRANVEER SINGH INSTITUTE OF TECHNOLOGY,KANPUR",Computer Science And Engineering(Artificial Intelligence & Machine Learning),B.Tech,Home State,SC(Girl),Female Seats,1251309.0
39.0,Round 1,"PRANVEER SINGH INSTITUTE OF TECHNOLOGY,KANPUR",Computer Science and Engineering (Data Science),B.Tech,Home State,BC(Girl),Female Seats,629993.0,1213323.0,,,,,,,,
,,,,,,,,,,Round 1,"ABES INSTITUTE OF TECHNOLOGY,GHAZIABAD",Computer Science and Engineering,B.Tech,Home State,EWS(GL),Female Seats,324383.0
41.0,Round 1,"ABES INSTITUTE OF TECHNOLOGY,GHAZIABAD",Computer Science and Engineering,B.Tech,Home State,OPEN(GIRL),Female Seats,242585.0,312769.0,,,,,,,,
,,,,,,,,,,Round 1,"GOEL INSTITUTE OF TECHNOLOGY & MANAGEMENT,LUCKNOW",Computer Science and Engineering,B.Tech,Home State,BC,Both Male and Female Seats,1195781.0
43.0,Round 1,"GOEL INSTITUTE OF TECHNOLOGY & MANAGEMENT,LUCKNOW",Computer Science and Engineering,B.Tech,Home State,OPEN,Both Male and Female Seats,860911.0,1190629.0,,,,,,,,
,,,,,,,,,,Round 1,"GOEL INSTITUTE OF TECHNOLOGY & MANAGEMENT,LUCKNOW",Information Technology,B.Tech,All India,OPEN,Both Male and Female Seats,576646.0
